model_type,curve_name,plot_corr_len,corr_len,P_tr,correlated_query,B,d,K,rho,num_runs,best_fresh_test_loss,best_fresh_test_loss_std,fresh_test_losses_json
reduced,p128,0,0,128,False,4096,32,320,0.01,20,0.30883153682808195,0.007701969464761585,[0.30883153682808195]
reduced,corr_query,0,0,128,True,4096,32,320,0.01,20,0.30913102064321774,0.007150736539769883,[0.30913102064321774]
reduced,corr0,0,0,128,False,4096,32,320,0.01,20,0.30883153682808195,0.007701969464761585,[0.30883153682808195]
reduced,p128,1,1,128,False,4096,32,320,0.01,20,0.3760826539763166,0.009666414483481357,[0.3760826539763166]
reduced,corr_query,1,1,128,True,4096,32,320,0.01,20,0.36342906305148787,0.005244343701141343,[0.36342906305148787]
reduced,corr0,1,0,98,False,4096,32,320,0.01,20,0.3744113411358292,0.007352223308685155,[0.3744113411358292]
reduced,p128,2,2,128,False,4096,32,320,0.01,20,0.5236847453673441,0.01211666366374101,[0.5236847453673441]
reduced,corr_query,2,2,128,True,4096,32,320,0.01,20,0.46726704598185576,0.007129037191582442,[0.46726704598185576]
reduced,corr0,2,0,60,False,4096,32,320,0.01,20,0.5248938813866405,0.01202486582509934,[0.5248938813866405]
reduced,p128,3,3,128,False,4096,32,320,0.01,20,0.6460728926881182,0.013948547497015375,[0.6460728926881182]
reduced,corr_query,3,3,128,True,4096,32,320,0.01,20,0.5399965105543099,0.008576842700488202,[0.5399965105543099]
reduced,corr0,3,0,42,False,4096,32,320,0.01,20,0.6474216652283684,0.014219543494246579,[0.6474216652283684]
reduced,p128,4,4,128,False,4096,32,320,0.01,20,0.742028380689864,0.01585063029264217,[0.742028380689864]
reduced,corr_query,4,4,128,True,4096,32,320,0.01,20,0.5889776089666846,0.009588892708904893,[0.5889776089666846]
reduced,corr0,4,0,32,False,4096,32,320,0.01,20,0.7434775078258378,0.01633396777353946,[0.7434775078258378]
reduced,p128,5,5,128,False,4096,32,320,0.01,20,0.8180355666407805,0.017814031709665404,[0.8180355666407805]
reduced,corr_query,5,5,128,True,4096,32,320,0.01,20,0.6229173727427393,0.009372737647684095,[0.6229173727427393]
reduced,corr0,5,0,26,False,4096,32,320,0.01,20,0.8144060955604303,0.018721315732910814,[0.8144060955604303]
reduced,p128,6,6,128,False,4096,32,320,0.01,20,0.8795589674999233,0.01954290799338421,[0.8795589674999233]
reduced,corr_query,6,6,128,True,4096,32,320,0.01,20,0.6472367157379494,0.00906294937909915,[0.6472367157379494]
reduced,corr0,6,0,22,False,4096,32,320,0.01,20,0.8726935972404848,0.020188461376101377,[0.8726935972404848]
reduced,p128,7,7,128,False,4096,32,320,0.01,20,0.9304757224795961,0.020870966951924114,[0.9304757224795961]
reduced,corr_query,7,7,128,True,4096,32,320,0.01,20,0.66556258098205,0.009307061281878144,[0.66556258098205]
reduced,corr0,7,0,19,False,4096,32,320,0.01,20,0.9190040220120423,0.020135973226837026,[0.9190040220120423]
reduced,p128,8,8,128,False,4096,32,320,0.01,20,0.9734589433672355,0.021782852727013094,[0.9734589433672355]
reduced,corr_query,8,8,128,True,4096,32,320,0.01,20,0.6802037982857788,0.009884749066864007,[0.6802037982857788]
reduced,corr0,8,0,17,False,4096,32,320,0.01,20,0.9551855749277536,0.018439835547986796,[0.9551855749277536]
reduced,p128,9,9,128,False,4096,32,320,0.01,20,1.010383070544372,0.022363492423488215,[1.010383070544372]
reduced,corr_query,9,9,128,True,4096,32,320,0.01,20,0.6924031595159112,0.010504885088633465,[0.6924031595159112]
reduced,corr0,9,0,15,False,4096,32,320,0.01,20,0.9954540932615696,0.01736695392650478,[0.9954540932615696]
reduced,p128,10,10,128,False,4096,32,320,0.01,20,1.0425889328446931,0.02272996364642231,[1.0425889328446931]
reduced,corr_query,10,10,128,True,4096,32,320,0.01,20,0.7027955172372035,0.011124234602401362,[0.7027955172372035]
reduced,corr0,10,0,14,False,4096,32,320,0.01,20,1.019481092964014,0.016888306871639325,[1.019481092964014]
